tcp-traceroute from 192.168.100.4 to 104.20.67.46
 7  221.120.254.18  28.161 ms ICMP
 8  202.125.128.164  22.214 ms ICMP
 9  213.242.115.57  133.073 ms ICMP
10  4.69.137.41  275.296 ms ICMP
11  4.35.172.14  275.978 ms ICMP
12  206.130.126.14  275.769 ms ICMP
13  199.195.194.196  275.678 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.25.178.35
 1  192.168.100.1  0.902 ms ICMP
 2  202.163.124.100  2.378 ms ICMP
 3  192.168.146.53  4.554 ms ICMP
 4  202.163.124.57  2.706 ms ICMP
 5  116.71.134.65  3.143 ms ICMP
 6  221.120.223.57  3.677 ms ICMP
 7  221.120.254.49  25.181 ms ICMP
 8  221.120.251.88  20.482 ms ICMP
 9  221.120.200.3  37.448 ms ICMP
10  104.25.178.35  29.700 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 61.110.223.71
 1  192.168.100.1  1.001 ms ICMP
 2  202.163.124.100  9.266 ms ICMP
 3  192.168.146.53  11.530 ms ICMP
 4  202.163.124.57  2.688 ms ICMP
 5  116.71.134.65  3.119 ms ICMP
 6  221.120.223.57  6.340 ms ICMP
 7  221.120.254.49  27.099 ms ICMP
 8  202.125.128.163  24.794 ms ICMP
 9  93.186.129.214  124.652 ms ICMP
10  195.22.195.25  306.727 ms ICMP
11  124.215.192.13  309.284 ms ICMP
12  111.87.3.241  319.040 ms ICMP
13  106.187.13.13  300.002 ms ICMP
14  27.85.227.242  294.569 ms ICMP
15  125.29.22.146  298.931 ms ICMP
16  111.87.9.254  325.668 ms ICMP
17  *
18  61.110.216.138  294.497 ms ICMP
19  61.110.223.71  290.810 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.25.62.100
 1  192.168.100.1  0.867 ms ICMP
 2  202.163.124.100  2.570 ms ICMP
 3  *
 4  202.163.124.57  3.635 ms ICMP
 5  116.71.134.65  2.794 ms ICMP
 6  221.120.223.57  5.281 ms ICMP
 7  221.120.254.49  23.729 ms ICMP
 8  221.120.251.88  20.797 ms ICMP
 9  221.120.200.3  21.986 ms ICMP
10  104.25.62.100  24.259 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 121.12.170.173
 1  192.168.100.1  0.980 ms ICMP
 2  202.163.124.100  2.251 ms ICMP
 3  192.168.146.53  5.284 ms ICMP
 4  202.163.124.57  2.828 ms ICMP
 5  116.71.134.65  2.948 ms ICMP
 6  221.120.223.53  6.710 ms ICMP
 7  221.120.254.18  23.644 ms ICMP
 8  221.120.248.43  20.715 ms ICMP
 9  195.22.197.164  118.798 ms ICMP
10  195.22.216.201  266.149 ms ICMP
11  218.30.54.106  225.075 ms ICMP
12  202.97.97.174  305.029 ms ICMP
13  202.97.49.137  338.226 ms ICMP
14  *
15  202.97.94.141  341.687 ms ICMP
16  113.96.254.37  344.831 ms ICMP
17  *
18  *
19  *
20  *
21  *
22  121.12.170.173  335.783 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 122.215.126.108
 1  192.168.100.1  0.811 ms ICMP
 2  202.163.124.100  7.926 ms ICMP
 3  *
 4  202.163.124.57  3.699 ms ICMP
 5  116.71.134.65  2.862 ms ICMP
 6  221.120.223.57  3.518 ms ICMP
 7  221.120.254.49  24.132 ms ICMP
 8  221.120.248.3  23.712 ms ICMP
 9  195.22.197.122  119.708 ms ICMP
10  195.22.208.75  152.463 ms ICMP
11  130.117.15.37  152.408 ms ICMP
12  154.54.37.29  149.792 ms ICMP
13  154.54.36.254  155.101 ms ICMP
14  130.117.0.61  154.240 ms ICMP
15  130.117.49.113  209.169 ms ICMP
16  154.54.85.18  290.677 ms ICMP
17  154.54.80.9  324.506 ms ICMP
18  154.54.47.253  376.247 ms ICMP
19  154.54.87.190  375.615 ms ICMP
20  154.18.0.106  282.953 ms ICMP
21  61.122.116.1  286.899 ms ICMP
22  58.159.240.6  283.741 ms ICMP
23  163.139.131.190  284.053 ms ICMP
24  58.159.255.90  284.740 ms ICMP
25  122.215.126.108  291.993 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.25.35.13
 1  192.168.100.1  0.823 ms ICMP
 2  202.163.124.100  2.561 ms ICMP
 3  192.168.146.53  4.531 ms ICMP
 4  202.163.124.57  2.747 ms ICMP
 5  116.71.134.65  13.931 ms ICMP
 6  221.120.223.57  3.735 ms ICMP
 7  221.120.254.49  21.764 ms ICMP
 8  221.120.251.88  20.522 ms ICMP
 9  221.120.200.3  22.017 ms ICMP
10  104.25.35.13  20.976 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 107.154.165.99
 1  192.168.100.1  0.942 ms ICMP
 2  202.163.124.100  2.335 ms ICMP
 3  *
 4  202.163.124.57  3.343 ms ICMP
 5  116.71.134.65  2.774 ms ICMP
 6  221.120.223.53  6.410 ms ICMP
 7  221.120.254.18  24.460 ms ICMP
 8  202.125.128.142  35.067 ms ICMP
 9  202.125.130.58  118.845 ms ICMP
10  10.188.195.75  113.837 ms ICMP
11  84.235.110.121  138.999 ms ICMP
12  84.235.107.26  90.664 ms ICMP
13  185.100.209.22  105.415 ms ICMP
14  185.100.209.3  101.033 ms ICMP
15  185.100.211.162  99.617 ms ICMP
16  107.154.165.99  100.054 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 35.244.244.156
 1  192.168.100.1  0.807 ms ICMP
 2  202.163.124.100  2.406 ms ICMP
 3  192.168.146.53  4.592 ms ICMP
 4  202.163.124.57  3.862 ms ICMP
 5  116.71.134.65  2.944 ms ICMP
 6  221.120.223.57  4.723 ms ICMP
 7  221.120.254.49  27.878 ms ICMP
 8  202.125.128.135  27.207 ms ICMP
 9  74.125.119.252  43.354 ms ICMP
10  108.170.247.17  43.648 ms ICMP
11  216.239.62.227  44.340 ms ICMP
12  35.244.244.156  154.118 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 54.37.57.139
 1  192.168.100.1  2.054 ms ICMP
 2  202.163.124.100  2.335 ms ICMP
 3  *
 4  202.163.124.57  3.041 ms ICMP
 5  116.71.134.65  2.707 ms ICMP
 6  221.120.223.53  2.782 ms ICMP
 7  221.120.254.18  26.471 ms ICMP
 8  221.120.248.3  28.088 ms ICMP
 9  93.186.142.194  125.463 ms ICMP
10  195.22.208.117  146.857 ms ICMP
11  91.121.131.62  164.193 ms ICMP
12  91.121.215.220  162.856 ms ICMP
13  91.121.215.219  163.540 ms ICMP
14  91.121.215.176  163.997 ms ICMP
15  *
16  *
17  *
18  51.83.67.26  163.232 ms ICMP
19  54.37.57.139  161.782 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 85.13.128.227
 1  192.168.100.1  37.203 ms ICMP
 2  202.163.124.100  5.309 ms ICMP
 3  *
 4  202.163.124.57  3.948 ms ICMP
 5  116.71.134.65  2.979 ms ICMP
 6  221.120.223.57  3.390 ms ICMP
 7  221.120.254.49  23.295 ms ICMP
 8  221.120.248.43  21.045 ms ICMP
 9  195.22.197.118  158.689 ms ICMP
10  195.22.208.117  220.404 ms ICMP
11  *
12  4.69.146.133  164.296 ms ICMP
13  4.69.146.133  164.115 ms ICMP
14  212.162.11.134  165.344 ms ICMP
15  85.13.128.227  166.374 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.25.34.13
 1  192.168.100.1  0.945 ms ICMP
 2  202.163.124.100  2.529 ms ICMP
 3  *
 4  202.163.124.57  3.150 ms ICMP
 5  116.71.134.65  2.688 ms ICMP
 6  221.120.223.53  6.379 ms ICMP
 7  221.120.254.18  24.125 ms ICMP
 8  221.120.251.101  24.001 ms ICMP
 9  221.120.200.3  23.204 ms ICMP
10  104.25.34.13  33.365 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 5.35.250.80
 1  192.168.100.1  0.884 ms ICMP
 2  202.163.124.100  2.599 ms ICMP
 3  *
 4  202.163.124.57  2.996 ms ICMP
 5  116.71.134.65  2.916 ms ICMP
 6  221.120.223.57  4.826 ms ICMP
 7  221.120.254.49  24.111 ms ICMP
 8  221.120.248.46  25.283 ms ICMP
 9  *
10  62.115.61.69  134.732 ms ICMP
11  62.115.112.230  146.230 ms ICMP
12  62.115.121.11  147.192 ms ICMP
13  62.115.144.9  150.564 ms ICMP
14  87.230.112.3  153.321 ms ICMP
15  217.115.141.57  150.630 ms ICMP
16  5.35.250.80  149.073 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.20.79.40
 1  192.168.100.1  0.830 ms ICMP
 2  202.163.124.100  2.275 ms ICMP
 3  *
 4  202.163.124.57  3.001 ms ICMP
 5  116.71.134.65  2.850 ms ICMP
 6  221.120.223.57  5.164 ms ICMP
 7  221.120.254.49  24.691 ms ICMP
 8  221.120.251.88  20.410 ms ICMP
 9  221.120.200.3  21.853 ms ICMP
10  104.20.79.40  21.789 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 59.37.155.30
 1  192.168.100.1  0.952 ms ICMP
 2  202.163.124.100  2.414 ms ICMP
 3  192.168.146.53  5.858 ms ICMP
 4  202.163.124.57  2.954 ms ICMP
 5  116.71.134.65  2.910 ms ICMP
 6  221.120.223.57  2.885 ms ICMP
 7  221.120.254.49  25.281 ms ICMP
 8  221.120.248.3  26.335 ms ICMP
 9  93.186.129.176  123.846 ms ICMP
10  195.22.211.104  153.482 ms ICMP
11  89.221.34.147  153.978 ms ICMP
12  202.97.95.153  289.404 ms ICMP
13  *
14  202.97.94.133  295.725 ms ICMP
15  61.140.0.37  292.129 ms ICMP
16  125.88.103.34  289.714 ms ICMP
17  59.37.156.45  288.831 ms ICMP
18  *
19  *
20  59.37.155.30  297.415 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 47.96.153.155
 1  192.168.100.1  0.976 ms ICMP
 2  202.163.124.100  2.352 ms ICMP
 3  192.168.146.53  4.711 ms ICMP
 4  202.163.124.57  2.825 ms ICMP
 5  116.71.134.65  2.836 ms ICMP
 6  221.120.223.57  5.160 ms ICMP
 7  221.120.254.49  22.700 ms ICMP
 8  202.125.128.163  22.886 ms ICMP
 9  195.22.197.66  120.283 ms ICMP
10  195.22.211.104  150.414 ms ICMP
11  89.221.34.147  149.105 ms ICMP
12  202.97.52.193  273.729 ms ICMP
13  *
14  202.97.50.221  370.572 ms ICMP
15  202.97.26.18  375.697 ms ICMP
16  220.191.200.134  372.215 ms ICMP
17  115.238.21.117  387.554 ms ICMP
18  *
19  *
20  *
21  *
22  47.96.153.155  374.564 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 94.130.23.137
 1  192.168.100.1  0.981 ms ICMP
 2  202.163.124.100  2.398 ms ICMP
 3  *
 4  202.163.124.57  2.677 ms ICMP
 5  116.71.134.65  88.850 ms ICMP
 6  221.120.223.53  3.237 ms ICMP
 7  221.120.254.18  25.795 ms ICMP
 8  202.125.128.135  20.981 ms ICMP
 9  80.239.192.153  127.635 ms ICMP
10  62.115.112.230  144.138 ms ICMP
11  62.115.120.6  143.204 ms ICMP
12  213.248.70.3  158.291 ms ICMP
13  213.239.224.245  165.151 ms ICMP
14  213.239.245.98  167.857 ms ICMP
15  94.130.23.144  167.919 ms ICMP
16  94.130.23.137  166.940 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 89.208.35.174
 1  192.168.100.1  2.844 ms ICMP
 2  202.163.124.100  2.469 ms ICMP
 3  *
 4  202.163.124.57  2.768 ms ICMP
 5  116.71.134.65  4.155 ms ICMP
 6  221.120.223.53  4.808 ms ICMP
 7  221.120.254.18  25.081 ms ICMP
 8  221.120.248.43  23.723 ms ICMP
 9  93.186.142.194  123.877 ms ICMP
10  195.22.211.98  153.057 ms ICMP
11  89.221.34.139  148.647 ms ICMP
12  83.169.204.127  192.402 ms ICMP
13  83.169.204.117  188.144 ms ICMP
14  85.26.206.143  188.090 ms ICMP
15  213.248.1.209  188.036 ms ICMP
16  89.208.35.174  187.501 ms ICMP
tcp-traceroute from 192.168.100.4 to 91.195.81.114
 1  192.168.100.1  7.487 ms ICMP
 2  202.163.124.100  11.456 ms ICMP
 3  192.168.146.53  116.873 ms ICMP
 4  202.163.124.57  2.764 ms ICMP
 5  116.71.134.65  3.078 ms ICMP
 6  221.120.223.57  3.840 ms ICMP
 7  221.120.254.49  25.620 ms ICMP
 8  202.125.128.134  26.284 ms ICMP
 9  93.186.129.216  124.320 ms ICMP
10  195.22.208.79  149.597 ms ICMP
11  *
12  *
13  213.19.194.155  165.753 ms ICMP
14  178.21.17.2  160.707 ms ICMP
15  91.195.81.114  159.794 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.8.177
 1  192.168.100.1  0.813 ms ICMP
 2  202.163.124.100  2.526 ms ICMP
 3  *
 4  202.163.124.57  3.008 ms ICMP
 5  116.71.134.65  4.541 ms ICMP
 6  221.120.223.57  4.441 ms ICMP
 7  221.120.254.49  25.811 ms ICMP
 8  221.120.251.88  37.326 ms ICMP
 9  221.120.200.3  66.543 ms ICMP
10  104.28.8.177  25.886 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 178.218.162.20
 1  192.168.100.1  0.864 ms ICMP
 2  202.163.124.100  4.467 ms ICMP
 3  192.168.146.53  6.274 ms ICMP
 4  202.163.124.57  2.982 ms ICMP
 5  116.71.134.65  2.891 ms ICMP
 6  221.120.223.57  4.655 ms ICMP
 7  221.120.254.49  21.584 ms ICMP
 8  221.120.248.3  21.562 ms ICMP
 9  221.120.251.119  110.777 ms ICMP
10  27.111.228.81  111.800 ms ICMP
11  184.105.65.14  212.547 ms ICMP
12  184.105.80.13  213.030 ms ICMP
13  184.105.64.142  210.982 ms ICMP
14  184.105.81.30  225.166 ms ICMP
15  184.105.81.33  279.445 ms ICMP
16  184.105.64.218  234.672 ms ICMP
17  185.1.87.107  225.785 ms ICMP
18  185.46.32.196  227.828 ms ICMP
19  178.218.162.20  225.221 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 67.225.221.16
 1  192.168.100.1  0.921 ms ICMP
 2  202.163.124.100  3.250 ms ICMP
 3  *
 4  202.163.124.57  3.336 ms ICMP
 5  116.71.134.65  3.971 ms ICMP
 6  221.120.223.53  3.580 ms ICMP
 7  221.120.254.18  22.872 ms ICMP
 8  202.125.128.135  23.109 ms ICMP
 9  *
10  *
11  4.14.99.142  221.622 ms ICMP
12  209.59.157.229  244.221 ms ICMP
13  69.167.128.79  243.582 ms ICMP
14  67.225.221.16  244.030 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.25.195.113
 1  192.168.100.1  0.840 ms ICMP
 2  202.163.124.100  2.373 ms ICMP
 3  192.168.146.53  5.189 ms ICMP
 4  202.163.124.57  2.600 ms ICMP
 5  116.71.134.65  2.794 ms ICMP
 6  221.120.223.57  5.779 ms ICMP
 7  221.120.254.49  27.093 ms ICMP
 8  221.120.251.88  20.386 ms ICMP
 9  221.120.200.3  21.779 ms ICMP
10  104.25.195.113  21.471 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 212.64.56.160
 1  192.168.100.1  0.888 ms ICMP
 2  202.163.124.100  2.524 ms ICMP
 3  192.168.146.53  7.183 ms ICMP
 4  202.163.124.57  2.768 ms ICMP
 5  116.71.134.65  2.836 ms ICMP
 6  221.120.223.53  6.805 ms ICMP
 7  221.120.254.18  27.635 ms ICMP
 8  221.120.248.43  23.742 ms ICMP
 9  195.22.197.122  122.608 ms ICMP
10  195.22.211.104  159.950 ms ICMP
11  89.221.34.147  202.989 ms ICMP
12  202.97.95.205  270.237 ms ICMP
13  202.97.63.6  265.753 ms ICMP
14  202.97.94.238  303.840 ms ICMP
15  *
16  *
17  *
18  180.163.27.202  331.886 ms ICMP
19  *
20  *
21  *
22  *
23  212.64.56.160  313.819 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.24.118.161
 1  192.168.100.1  1.011 ms ICMP
 2  202.163.124.100  2.253 ms ICMP
 3  *
 4  202.163.124.57  3.084 ms ICMP
 5  116.71.134.65  2.910 ms ICMP
 6  221.120.223.53  3.795 ms ICMP
 7  221.120.254.18  25.068 ms ICMP
 8  221.120.251.101  22.227 ms ICMP
 9  221.120.200.3  38.195 ms ICMP
10  104.24.118.161  26.400 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 176.31.229.66
 1  192.168.100.1  0.901 ms ICMP
 2  202.163.124.100  2.347 ms ICMP
 3  192.168.146.53  9.898 ms ICMP
 4  202.163.124.57  2.705 ms ICMP
 5  116.71.134.65  3.102 ms ICMP
 6  221.120.223.53  4.499 ms ICMP
 7  221.120.254.18  24.572 ms ICMP
 8  221.120.248.3  20.358 ms ICMP
 9  93.186.142.194  121.440 ms ICMP
10  195.22.208.117  143.383 ms ICMP
11  91.121.131.62  163.216 ms ICMP
12  91.121.215.220  159.439 ms ICMP
13  91.121.215.197  157.480 ms ICMP
14  94.23.122.240  160.660 ms ICMP
15  *
16  *
17  *
18  176.31.229.66  161.598 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 212.32.248.167
 1  192.168.100.1  0.870 ms ICMP
 2  202.163.124.100  4.829 ms ICMP
 3  192.168.146.53  12.530 ms ICMP
 4  202.163.124.57  2.947 ms ICMP
 5  116.71.134.65  3.146 ms ICMP
 6  221.120.223.57  5.013 ms ICMP
 7  221.120.254.49  24.697 ms ICMP
 8  221.120.248.3  26.124 ms ICMP
 9  195.22.197.122  125.002 ms ICMP
10  195.22.213.218  166.149 ms ICMP
11  195.22.213.25  165.295 ms ICMP
12  81.17.33.109  164.570 ms ICMP
13  212.32.248.167  164.491 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 47.88.191.97
 1  192.168.100.1  0.855 ms ICMP
 2  202.163.124.100  24.247 ms ICMP
 3  *
 4  202.163.124.57  2.706 ms ICMP
 5  116.71.134.65  3.030 ms ICMP
 6  221.120.223.53  5.736 ms ICMP
 7  221.120.254.18  23.103 ms ICMP
 8  202.125.128.164  20.374 ms ICMP
 9  116.51.26.49  100.543 ms ICMP
10  129.250.7.9  103.941 ms ICMP
11  129.250.7.26  100.589 ms ICMP
12  129.250.2.240  101.263 ms ICMP
13  129.250.8.242  101.283 ms ICMP
14  120.29.214.130  102.802 ms ICMP
15  116.251.81.221  101.327 ms ICMP
16  11.207.166.121  112.386 ms ICMP
17  11.207.68.45  106.786 ms ICMP
18  47.88.191.97  98.208 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 178.21.14.150
 1  192.168.100.1  0.744 ms ICMP
 2  202.163.124.100  2.273 ms ICMP
 3  *
 4  202.163.124.57  2.684 ms ICMP
 5  116.71.134.65  2.836 ms ICMP
 6  221.120.223.57  5.347 ms ICMP
 7  221.120.254.49  51.424 ms ICMP
 8  202.125.128.164  24.455 ms ICMP
 9  *
10  4.69.163.110  148.418 ms ICMP
11  212.162.24.170  163.002 ms ICMP
12  *
13  188.43.243.97  199.058 ms ICMP
14  *
15  178.21.14.150  199.052 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 91.195.81.73
 1  192.168.100.1  0.903 ms ICMP
 2  202.163.124.100  8.230 ms ICMP
 3  *
 4  202.163.124.57  2.960 ms ICMP
 5  116.71.134.65  3.180 ms ICMP
 6  221.120.223.57  5.353 ms ICMP
 7  221.120.254.49  21.947 ms ICMP
 8  221.120.248.43  21.061 ms ICMP
 9  195.22.197.66  120.177 ms ICMP
10  195.22.208.117  164.612 ms ICMP
11  *
12  *
13  213.19.194.154  156.630 ms ICMP
14  178.21.17.2  157.940 ms ICMP
15  91.195.81.73  157.802 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 47.101.129.93
 1  192.168.100.1  0.926 ms ICMP
 2  202.163.124.100  3.237 ms ICMP
 3  192.168.146.53  8.401 ms ICMP
 4  202.163.124.57  2.803 ms ICMP
 5  116.71.134.65  2.845 ms ICMP
 6  221.120.223.57  4.207 ms ICMP
 7  221.120.254.49  21.742 ms ICMP
 8  221.120.248.3  23.858 ms ICMP
 9  195.22.197.122  119.153 ms ICMP
10  89.221.40.141  307.453 ms ICMP
11  219.158.33.189  379.339 ms ICMP
12  219.158.117.13  342.401 ms ICMP
13  219.158.16.81  371.596 ms ICMP
14  219.158.5.145  339.277 ms ICMP
15  *
16  139.226.210.98  341.897 ms ICMP
17  139.226.204.126  336.788 ms ICMP
18  *
19  *
20  *
21  *
22  *
23  47.101.129.93  442.205 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 45.60.114.29
 1  192.168.100.1  0.833 ms ICMP
 2  202.163.124.100  27.432 ms ICMP
 3  *
 4  202.163.124.57  3.195 ms ICMP
 5  116.71.134.65  2.897 ms ICMP
 6  221.120.223.57  3.393 ms ICMP
 7  221.120.254.49  25.136 ms ICMP
 8  202.125.128.134  25.493 ms ICMP
 9  195.22.197.164  121.391 ms ICMP
10  195.22.208.117  186.344 ms ICMP
11  4.68.73.37  140.458 ms ICMP
12  *
13  195.122.180.66  151.737 ms ICMP
14  45.60.114.29  216.980 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 91.195.81.117
 1  192.168.100.1  0.911 ms ICMP
 2  202.163.124.100  2.259 ms ICMP
 3  *
 4  202.163.124.57  2.773 ms ICMP
 5  116.71.134.65  2.896 ms ICMP
 6  221.120.223.53  5.667 ms ICMP
 7  221.120.254.18  29.267 ms ICMP
 8  221.120.248.3  24.740 ms ICMP
 9  195.22.197.118  149.157 ms ICMP
10  195.22.208.79  151.164 ms ICMP
11  4.68.73.37  146.218 ms ICMP
12  *
13  213.19.194.155  166.529 ms ICMP
14  178.21.17.2  160.605 ms ICMP
15  91.195.81.117  158.573 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 103.204.179.67
 1  *
 2  202.163.124.100  2.715 ms ICMP
 3  192.168.146.53  4.985 ms ICMP
 4  202.163.124.57  3.090 ms ICMP
 5  116.71.134.65  2.936 ms ICMP
 6  221.120.223.53  6.140 ms ICMP
 7  221.120.254.18  24.431 ms ICMP
 8  202.125.128.164  21.464 ms ICMP
 9  213.242.116.33  131.323 ms ICMP
10  80.231.217.92  129.130 ms ICMP
11  180.231.217.122  231.954 ms ICMP
12  180.87.38.2  230.124 ms ICMP
13  180.87.39.159  291.560 ms ICMP
14  180.87.12.2  229.189 ms ICMP
15  116.0.93.141  228.615 ms ICMP
16  116.0.82.62  226.498 ms ICMP
17  180.87.163.106  225.993 ms ICMP
18  116.0.67.66  226.157 ms ICMP
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
31  *
32  *
33  *
tcp-traceroute from 192.168.100.4 to 185.92.73.10
 1  192.168.100.1  0.866 ms ICMP
 2  202.163.124.100  2.329 ms ICMP
 3  *
 4  202.163.124.57  3.801 ms ICMP
 5  116.71.134.65  9.557 ms ICMP
 6  221.120.223.53  6.171 ms ICMP
 7  221.120.254.18  22.242 ms ICMP
 8  221.120.248.46  24.160 ms ICMP
 9  *
10  4.69.158.202  152.399 ms ICMP
11  213.19.194.157  155.494 ms ICMP
12  185.8.179.18  155.117 ms ICMP
13  185.8.179.23  156.711 ms ICMP
14  178.21.17.21  155.791 ms ICMP
15  46.249.50.57  156.024 ms ICMP
16  185.92.73.10  155.131 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 192.124.249.14
 1  192.168.100.1  0.917 ms ICMP
 2  202.163.124.100  2.284 ms ICMP
 3  192.168.146.53  4.760 ms ICMP
 4  202.163.124.57  2.907 ms ICMP
 5  116.71.134.65  2.935 ms ICMP
 6  221.120.223.57  2.488 ms ICMP
 7  221.120.254.49  25.230 ms ICMP
 8  221.120.248.3  24.191 ms ICMP
 9  195.22.197.122  119.723 ms ICMP
10  195.22.205.13  142.901 ms ICMP
11  46.33.83.178  140.742 ms ICMP
12  213.200.114.173  147.367 ms ICMP
13  213.254.226.22  145.859 ms ICMP
14  *
15  *
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
tcp-traceroute from 192.168.100.4 to 82.146.38.247
 1  192.168.100.1  0.842 ms ICMP
 2  202.163.124.100  2.223 ms ICMP
 3  192.168.146.53  4.479 ms ICMP
 4  202.163.124.57  2.718 ms ICMP
 5  116.71.134.65  2.930 ms ICMP
 6  221.120.223.57  2.741 ms ICMP
 7  221.120.254.49  24.790 ms ICMP
 8  221.120.248.46  22.766 ms ICMP
 9  213.242.116.33  131.822 ms ICMP
10  4.69.158.253  172.153 ms ICMP
11  212.73.250.34  186.891 ms ICMP
12  94.124.180.53  210.024 ms ICMP
13  109.239.134.30  203.223 ms ICMP
14  92.63.108.98  220.239 ms ICMP
15  82.146.36.230  210.014 ms ICMP
16  82.146.38.247  203.657 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 107.167.5.182
 1  *
 2  202.163.124.100  2.260 ms ICMP
 3  192.168.146.53  6.432 ms ICMP
 4  202.163.124.57  2.905 ms ICMP
 5  116.71.134.65  2.978 ms ICMP
 6  221.120.223.53  4.119 ms ICMP
 7  221.120.254.18  26.002 ms ICMP
 8  221.120.248.6  25.912 ms ICMP
 9  *
10  4.68.144.162  129.046 ms ICMP
11  89.149.140.77  277.242 ms ICMP
12  *
13  *
14  *
15  *
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
tcp-traceroute from 192.168.100.4 to 158.69.5.7
 1  192.168.100.1  0.869 ms ICMP
 2  202.163.124.100  2.550 ms ICMP
 3  192.168.146.53  5.089 ms ICMP
 4  202.163.124.57  4.332 ms ICMP
 5  116.71.134.65  2.808 ms ICMP
 6  221.120.223.53  14.793 ms ICMP
 7  221.120.254.18  53.002 ms ICMP
 8  202.125.128.134  26.674 ms ICMP
 9  195.22.197.118  137.414 ms ICMP
10  195.22.208.117  150.448 ms ICMP
11  91.121.131.62  166.878 ms ICMP
12  91.121.215.194  165.484 ms ICMP
13  213.186.32.141  163.325 ms ICMP
14  178.33.99.143  165.032 ms ICMP
15  178.33.99.144  164.482 ms ICMP
16  178.33.99.142  165.246 ms ICMP
17  *
18  37.187.232.28  163.855 ms ICMP
19  213.251.128.1  241.983 ms ICMP
20  *
21  *
22  158.69.5.7  234.715 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.24.100.212
 1  192.168.100.1  2.033 ms ICMP
 2  202.163.124.100  2.617 ms ICMP
 3  *
 4  202.163.124.57  2.721 ms ICMP
 5  116.71.134.65  2.990 ms ICMP
 6  221.120.223.53  5.313 ms ICMP
 7  221.120.254.18  26.949 ms ICMP
 8  221.120.251.101  24.649 ms ICMP
 9  221.120.200.3  22.981 ms ICMP
10  104.24.100.212  23.035 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 123.125.96.156
 1  *
 2  202.163.124.100  2.386 ms ICMP
 3  *
 4  202.163.124.57  2.636 ms ICMP
 5  116.71.134.65  2.727 ms ICMP
 6  221.120.223.53  4.753 ms ICMP
 7  221.120.254.18  28.769 ms ICMP
 8  202.125.128.164  23.732 ms ICMP
 9  116.51.31.117  105.794 ms ICMP
10  129.250.7.18  103.814 ms ICMP
11  129.250.4.34  104.852 ms ICMP
12  129.250.2.67  168.437 ms ICMP
13  129.250.7.33  166.788 ms ICMP
14  219.158.34.153  257.752 ms ICMP
15  219.158.3.141  261.389 ms ICMP
16  219.158.5.153  260.281 ms ICMP
17  *
18  *
19  124.65.194.42  263.684 ms ICMP
20  61.135.113.2  267.867 ms ICMP
21  123.125.96.251  272.270 ms ICMP
22  *
23  123.125.96.156  275.059 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.254.83.112
 1  192.168.100.1  0.867 ms ICMP
 2  202.163.124.100  3.350 ms ICMP
 3  *
 4  202.163.124.57  3.569 ms ICMP
